Food,Sugar,Carbs,Calories,Fiber,Protein,Fat,Sodium,Risk_Score,Label
rice noodles cooked,0.052,42.3,190.0,1.8,3.2,0.4,0.075,34.5809,Moderate
whole wheat macaroni cooked,1.1,37.2,174.0,3.9,7.5,0.8,0.057,19.866490000000006,Moderate
spaghetti cooked,1.3,71.0,363.0,4.1,13.3,2.1,0.089,55.83684,Avoid
whole wheat spaghetti cooked,1.1,37.2,174.0,6.3,7.5,0.8,0.091,7.866829999999997,Recommended
waffle,0.0,24.7,218.0,0.0,5.9,10.6,0.4,26.041690000000003,Moderate
baked taco shell,0.2,8.3,61.0,0.9,0.8,2.7,0.004,4.220985000000001,Recommended
puff pastry,1.8,112.0,1367.0,3.7,18.1,94.3,0.6,120.616,Avoid
blueberry muffin,17.9,30.2,214.0,0.6,2.6,9.2,0.2,81.16141999999998,Avoid
bread crumbs,6.7,77.7,427.0,4.9,14.4,5.7,0.8,69.01468499999999,Avoid
warm cinnamon roll mcdonalds,7.0,15.0,113.0,0.5,2.0,5.1,0.1,33.03525,Moderate
corn muffin,11.7,33.7,201.0,2.2,3.9,5.5,0.3,54.804055000000005,Avoid
tortilla,5.4,98.4,467.0,4.7,14.3,1.9,0.9,88.93192,Avoid
croutons seasoned,1.8,25.4,186.0,2.0,4.3,7.3,0.4,18.36766,Moderate
buttermilk waffle,1.5,16.0,102.0,0.9,2.4,3.1,0.2,14.6468,Moderate
flour tortilla,1.3,24.1,146.0,1.2,3.9,3.7,0.4,20.37679,Moderate
glazed donut,3.0,6.2,55.0,0.3,0.8,3.0,0.082,13.316970000000001,Moderate
corn tortilla,0.2,10.7,52.0,1.5,1.4,0.7,0.075,3.529210000000001,Recommended
muffin,0.0,23.6,169.0,1.5,3.9,6.5,0.3,17.02626,Moderate
croutons,0.0,5.9,33.0,0.4,1.0,0.5,0.035,3.9545550000000005,Recommended
donut with jelly filling,17.9,33.2,289.0,0.8,5.0,15.9,0.4,83.57822000000002,Avoid
sweet cinnamon rolls,26.3,42.2,309.0,2.0,5.1,13.6,0.3,109.83897,Avoid
oat bran muffin,1.4,8.2,46.0,0.8,1.2,1.3,0.067,6.962249999999998,Recommended
french cruller donut,14.4,24.4,169.0,0.5,1.3,7.5,0.1,65.11954,Avoid
pancakes,0.0,10.8,86.0,0.0,2.4,3.7,0.2,11.126320000000002,Moderate
chocolate donut,19.2,34.4,250.0,1.3,2.7,11.9,0.1,84.851,Avoid
sweet cheese rolls,0.0,28.8,238.0,0.8,4.7,12.1,0.2,26.43516,Moderate
eclair,2.0,11.2,234.0,0.4,4.4,19.2,0.1,15.774120000000002,Moderate
donut with cream filling,12.4,25.5,307.0,0.7,5.4,20.8,0.3,60.05227500000001,Avoid
fruit toaster pastry,14.8,37.1,209.0,0.5,2.4,5.6,0.2,79.470085,Avoid
donut,0.0,22.9,192.0,0.7,2.3,10.3,0.2,20.57652,Moderate
pancakes whole wheat,0.0,12.9,92.0,1.2,3.7,2.9,0.3,7.226020000000001,Recommended
keikitos,10.8,22.3,196.0,0.5,2.9,10.6,0.2,52.41262000000001,Avoid
zwieback,0.9,5.2,30.0,0.2,0.7,0.7,0.05,6.5689,Recommended
chocolate coated donut,4.8,9.2,81.0,0.3,0.9,4.5,0.099,21.85277,Moderate
waffle toasted,1.7,16.3,103.0,0.8,2.4,3.2,0.2,16.253835,Moderate
cinnamon toaster pastry,0.0,34.1,206.0,0.5,2.6,7.1,0.2,33.010690000000004,Moderate
wheat bran bread,3.5,17.2,89.0,1.4,3.2,1.2,0.2,18.26162,Moderate
white bread,1.6,14.3,77.0,0.8,2.6,1.0,0.1,13.756165000000006,Moderate
oat bran bread,2.3,11.9,71.0,1.4,3.1,1.3,0.1,9.262735,Moderate
whole wheat bread natures own,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.05,Highly Recommended
high protein bread dr zaks,0.6,15.3,152.0,0.0,0.0,3.0,0.0,17.59884,Moderate
wheat bread,1.7,13.8,79.0,1.2,3.1,1.3,0.1,10.78953,Moderate
egg bread toasted,0.7,19.5,117.0,0.9,3.9,2.4,0.2,16.199225,Moderate
butter toastbrot ja,0.4,2.0,66.0,0.0,0.0,0.9,0.0,3.2648,Recommended
vienna bread toasted,1.0,18.0,93.0,0.9,3.8,0.6,0.2,15.028100000000004,Moderate
vienna bread,0.8,18.1,92.0,0.8,3.8,0.6,0.2,15.221780000000003,Moderate
protein bread,0.3,8.3,47.0,0.6,2.3,0.4,0.008,5.693595,Recommended
banana bread,0.0,31.1,186.0,0.6,2.5,6.0,0.2,29.26969,Moderate
rice bran bread,1.3,11.7,66.0,1.3,2.4,1.2,0.081,6.741639999999999,Recommended
white fibre wonder bread,2.0,18.0,95.0,1.5,3.5,1.0,0.0,13.881499999999999,Moderate
focaccia,1.0,20.4,142.0,1.0,5.0,4.5,0.3,17.11252,Moderate
oat bran bread toasted,2.3,11.8,70.0,1.3,3.1,1.3,0.1,9.854899999999997,Moderate
rye bread,1.2,15.5,83.0,1.9,2.7,1.1,0.2,7.509975000000001,Recommended
wheat germ bread,1.0,13.5,73.0,0.6,2.7,0.8,0.2,12.519824999999999,Moderate
protein bread toasted,0.2,8.2,46.0,0.6,2.2,0.4,0.049,5.487069999999999,Recommended
oatmeal bread,2.2,13.1,73.0,1.1,2.3,1.2,0.1,12.259445000000001,Moderate
arepa,0.9,36.4,215.0,2.5,5.4,5.3,0.3,26.286900000000003,Moderate
raisin bread toasted,1.8,16.5,86.0,1.4,2.5,1.4,0.1,12.453850000000001,Moderate
cracked wheat bread,0.0,14.0,74.0,1.6,2.5,1.1,0.2,6.212400000000001,Recommended
garlic bread,1.6,17.9,151.0,1.1,3.6,7.1,0.2,15.817434999999998,Moderate
rye bread toasted,1.2,15.4,82.0,1.9,2.7,1.0,0.2,7.401420000000002,Recommended
whole wheat bread,1.8,23.6,128.0,2.8,3.9,2.5,0.2,12.07012,Moderate
whole wheat bread toasted,1.8,23.7,128.0,2.8,3.9,2.5,0.2,12.172039999999999,Moderate
pan dulce bread,7.9,35.5,231.0,1.4,5.9,7.3,0.1,51.066075,Avoid
rice bran bread toasted,1.3,11.8,66.0,1.3,2.4,1.3,0.026,6.847080000000001,Recommended
pita bread whole wheat,0.2,15.4,74.0,2.1,2.7,0.7,0.1,5.316940000000001,Recommended
wheat germ bread toasted,1.0,13.6,73.0,0.6,2.7,0.8,0.2,12.62092,Moderate
pumpernickel bread,0.1,12.4,65.0,1.7,2.3,0.8,0.2,4.167900000000002,Recommended
frybread,3.1,73.4,502.0,0.0,10.2,18.6,0.5,89.16202000000001,Avoid
white bread toasted,1.3,15.4,83.0,0.7,2.5,1.1,0.2,14.683729999999997,Moderate
piki bread,0.4,20.2,109.0,2.6,2.5,2.0,0.028,8.050549999999996,Moderate
wheat bread toasted,1.5,13.4,75.0,1.1,3.1,1.0,0.1,10.456750000000001,Moderate
pita bread,0.8,33.4,165.0,1.3,5.5,0.7,0.3,28.604649999999996,Moderate
potato bread,3.0,15.1,85.0,2.0,4.0,1.0,0.1,10.443525000000001,Moderate
egg bread,0.7,19.1,115.0,0.9,3.8,2.4,0.2,15.786475000000001,Moderate
oatmeal bread toasted,2.2,13.2,73.0,1.1,2.3,1.2,0.1,12.360539999999999,Moderate
cheese bread,1.0,21.5,196.0,1.0,5.0,10.0,0.4,18.686100000000003,Moderate
pumpernickel bread toasted,0.2,15.1,80.0,2.1,2.8,1.0,0.2,5.043200000000002,Recommended
raisin bread,1.8,16.7,88.0,1.4,2.5,1.4,0.1,12.66144,Moderate
pumpernickel roll,0.1,14.8,77.0,1.5,3.0,0.8,0.1,7.61694,Recommended
cinnamon raisin bagel,1.6,14.4,71.0,0.6,2.5,0.4,0.047,15.203829999999998,Moderate
english muffin,0.9,25.5,127.0,2.6,5.0,1.1,0.2,13.987774999999997,Moderate
rye dinner roll,0.5,22.8,123.0,2.1,4.4,1.5,0.3,13.323659999999999,Moderate
english muffin whole wheat,5.3,26.7,134.0,4.4,5.8,1.4,0.2,12.628669999999996,Moderate
dinner roll whole wheat,2.4,14.3,74.0,2.1,2.4,1.3,0.1,7.129729999999999,Recommended
dinner roll,0.5,12.9,76.0,1.1,2.4,1.8,0.1,8.16306,Moderate
hotdog roll,3.1,21.1,117.0,0.8,4.1,1.6,0.2,25.292305,Moderate
bagel,6.0,47.9,245.0,4.0,10.0,1.5,0.4,39.939325,Moderate
oat bran bagel,1.1,36.8,176.0,2.5,7.4,0.8,0.4,26.470519999999993,Moderate
pain au chocolat de la boulangerie,0.0,0.0,235.0,0.0,0.0,12.0,0.0,0.6000000000000001,Highly Recommended
egg bagel,0.0,13.8,72.0,0.6,2.8,0.5,0.1,10.97504,Moderate
english muffin toasted,1.8,27.4,140.0,1.5,5.4,1.1,0.2,23.007399999999997,Moderate
english muffin whole wheat toasted,5.4,26.9,135.0,4.5,5.9,1.4,0.2,12.441724999999998,Moderate
biscuit,2.2,45.0,357.0,1.5,7.1,16.5,0.6,44.41575,Moderate
french roll,0.1,19.1,105.0,1.2,3.3,1.6,0.2,13.587824999999999,Moderate
oat bran dinner roll,2.2,13.3,78.0,1.4,3.1,1.5,0.1,10.401610000000003,Moderate
pecan shortbread cookies,0.0,8.2,76.0,0.3,0.7,4.6,0.002,7.023499999999998,Recommended
oatmeal cookies,6.2,17.2,113.0,0.7,1.6,4.5,0.1,31.452539999999996,Moderate
chocolate wafers,33.2,81.1,485.0,3.8,7.4,15.9,0.8,160.99302500000002,Avoid
vanilla wafers low fat,30.0,58.9,353.0,1.5,4.0,12.2,0.3,142.206755,Avoid
chocolate chip cookies mcdonalds,9.6,18.7,136.0,0.6,1.6,6.4,0.058,44.03206,Moderate
gingersnap cookies,1.4,5.4,29.0,0.2,0.4,0.7,0.012,8.26861,Moderate
biscotti abbracci mulino bianco,0.051,0.8,54.0,0.0,0.4,2.6,0.0,1.08948,Highly Recommended
chocolate chip cookie,5.3,9.3,63.0,0.3,0.5,2.8,0.047,23.343355,Moderate
brownie,22.0,38.3,243.0,1.3,2.9,9.8,0.2,97.15303499999999,Avoid
shortbread cookies,1.2,5.2,40.0,0.1,0.5,1.9,0.097,8.232170000000002,Moderate
oatmeal cookies with raisins,0.0,10.3,65.0,0.0,1.0,2.4,0.022,10.520645,Moderate
peanut butter sandwich cookies,5.0,9.2,67.0,0.3,1.2,3.0,0.098,22.358439999999995,Moderate
sugar cookies,5.7,10.2,72.0,0.1,0.8,3.2,0.007,26.875230000000006,Moderate
chocolate covered graham crackers,5.8,9.3,68.0,0.4,0.8,3.2,0.067,24.175530000000002,Moderate
raisin cookies,7.1,10.2,60.0,0.2,0.6,2.0,0.077,30.30257,Moderate
vanilla wafers,0.0,4.3,28.0,0.1,0.3,1.2,0.045,3.87851,Recommended
graham crackers,26.1,64.5,355.0,2.4,5.8,8.5,0.4,129.98362500000002,Avoid
peanut butter cookies,0.0,11.8,95.0,0.0,1.8,4.8,0.1,12.209150000000001,Moderate
vanilla sandwich cookie,5.9,10.8,72.0,0.2,0.7,3.0,0.044,27.377080000000003,Moderate
sugar wafers with creme filling,4.3,7.1,51.0,0.2,0.4,2.3,0.06,18.779914999999995,Moderate
cheese puffs,1.1,18.6,197.0,0.6,2.1,12.8,0.3,18.92263,Moderate
saltine crackers,0.063,2.2,13.0,0.022,0.3,0.3,0.067,2.2560600000000006,Recommended
trail mix,0.0,13.5,139.0,0.0,4.1,8.8,0.014,14.221615,Moderate
corn cones,0.0,17.8,144.0,0.3,1.6,7.6,0.3,17.06748,Moderate
chocolate pretzels,0.0,7.8,50.0,0.0,0.8,1.8,0.037,7.948869999999999,Recommended
french toast sticks,2.1,8.9,73.0,0.3,1.3,3.8,0.001,13.402465000000001,Moderate
crackers,1.3,9.8,82.0,0.4,1.1,4.2,0.1,11.251540000000002,Moderate
sesame sticks,0.084,4.7,54.0,0.3,1.1,3.7,0.09,3.5121699999999993,Recommended
cheese crackers,0.3,4.2,34.0,0.2,0.8,1.6,0.065,3.8120700000000003,Recommended
oriental rice cracker mix,0.8,14.6,143.0,3.7,4.9,7.2,0.1,-2.385830000000004,Highly Recommended
breadsticks,0.3,17.1,103.0,0.8,3.0,2.4,0.2,13.801195000000003,Moderate
milk crackers,1.8,7.7,50.0,0.2,0.8,1.7,0.095,11.8537,Moderate
matzo crackers whole wheat,0.0,22.1,98.0,3.3,3.7,0.4,0.002,5.944890000000001,Recommended
matzo crackers with egg,0.0,22.0,109.0,0.8,3.4,0.6,0.057,18.39027,Moderate
granola bites,1.5,3.3,23.0,0.3,0.4,0.9,0.067,5.772055,Recommended
crackers whole wheat,0.3,19.5,120.0,2.9,3.0,4.0,0.2,5.868,Recommended
tropical trail mix,0.0,91.8,619.0,0.0,8.8,23.9,0.1,101.51962999999999,Avoid
soft pretzels,0.3,79.8,389.0,2.0,9.4,3.6,0.9,74.96033,Avoid
corn tostada shell,0.0,7.9,58.0,0.7,0.8,2.9,0.084,4.6145700000000005,Recommended
matzo crackers,0.098,23.4,111.0,0.8,2.8,0.4,0.0,19.91251,Moderate
sesame crunch,0.6,0.9,9.0,0.1,0.2,0.6,0.027,2.036485,Recommended
trail mix with chocolate chips,0.0,65.6,707.0,0.0,20.7,46.6,0.2,74.88887999999999,Avoid
cracker meal,0.4,93.0,440.0,3.0,10.7,2.0,0.078,84.65878000000001,Avoid
puffed rice,0.0,34.1,153.0,0.6,2.4,0.2,0.053,31.893124999999998,Moderate
filinchen gutena,0.028,0.5,19.0,0.0,0.4,0.2,0.0,0.595425,Highly Recommended
melba toast crackers,0.3,23.0,117.0,1.9,3.6,1.0,0.2,14.270650000000002,Moderate
matzo crackers with egg onion,0.0,21.6,109.0,1.4,2.8,1.1,0.052,15.008680000000004,Moderate
cornnuts,0.2,20.3,126.0,2.0,2.4,4.4,0.2,11.115669999999998,Moderate
bagel chips,10.5,116.1,789.0,7.2,21.6,26.5,0.4,110.72399999999998,Avoid
pretzels,0.7,24.1,115.0,1.0,3.0,0.9,0.4,20.299725000000002,Moderate
potato raw,1.7,37.2,164.0,4.7,4.3,0.2,0.072,16.410839999999997,Moderate
gatto di patate home made,3.6,4.0,202.0,0.0,0.0,9.4,0.0,15.391200000000001,Moderate
baked potato,2.0,36.6,161.0,3.8,4.3,0.2,0.097,20.594860000000008,Moderate
potato sticks,0.006,19.2,188.0,1.2,2.4,12.4,0.2,14.36974,Moderate
potato cooked,0.5,12.1,52.0,1.2,1.1,0.006,0.035,6.720029999999999,Recommended
vivaldi potatoes sainsburys,0.0,0.0,23.0,0.0,0.0,0.1,0.0,0.005000000000000001,Highly Recommended
potato ham chowder soup,0.0,13.4,192.0,1.4,6.5,12.5,0.9,7.419920000000001,Recommended
russet potato raw,2.3,66.7,292.0,4.8,7.9,0.3,0.068,48.05214000000001,Avoid
russet potato baked,3.2,64.1,290.0,6.9,7.9,0.4,0.084,35.769189999999995,Moderate
french fries,0.088,2.2,13.0,0.2,0.2,0.4,0.056,1.3172500000000003,Highly Recommended
potato scalloped,0.0,26.4,216.0,4.7,7.0,9.0,0.8,4.213359999999998,Recommended
cottage fries,0.019,1.9,11.0,0.2,0.2,0.4,0.058,0.943665,Highly Recommended
mashed potatoes,1.2,35.5,215.0,3.1,4.0,6.8,0.7,22.751875,Moderate
mashed potato with milk and butter,3.0,35.3,237.0,3.2,3.9,8.9,0.7,24.156914999999987,Moderate
red potato raw,2.7,33.9,149.0,3.6,4.0,0.3,0.02,19.507865000000002,Moderate
potato pancake,0.4,6.1,59.0,0.7,1.3,3.2,0.2,3.2359849999999994,Recommended
potato puffs,0.3,35.5,243.0,3.2,2.6,11.0,0.6,21.664974999999995,Moderate
red potato baked,1.2,16.7,74.0,1.5,2.0,0.1,0.037,10.650739999999999,Moderate
potatoes canned,0.0,29.7,132.0,4.2,3.6,0.3,0.7,9.31006,Moderate
potato skin raw,0.0,4.7,22.0,1.0,1.0,0.099,0.053,-0.27901,Highly Recommended
shoestring french fries,0.062,0.7,4.0,0.099,0.099,0.1,0.055,0.2760699999999999,Highly Recommended
hash brown potato,0.3,15.3,144.0,1.4,1.4,9.0,0.3,9.39848,Moderate
baked chips lays,0.0,0.0,130.0,0.0,0.0,2.0,0.0,0.1,Highly Recommended
corn chips,0.031,17.2,162.0,1.2,1.9,10.0,0.2,12.15251,Moderate
nacho cheese tortilla chips low fat,0.8,18.5,90.0,1.8,2.4,1.0,0.2,10.641749999999998,Moderate
corn chips barbecue,0.0,111.3,1036.0,10.3,13.9,64.7,1.5,78.58999999999999,Avoid
corn chips unsalted,1.2,50.5,490.0,3.9,5.8,29.4,0.024,37.44199,Moderate
potato chips fat free,8.4,190.1,860.0,17.0,21.9,1.4,1.5,126.90499999999997,Avoid
sweet chilli kettle baked chips,0.4,2.1,99.0,0.0,2.0,2.2,0.0,3.441185,Recommended
taro chips,0.04,1.6,11.0,0.2,0.049,0.6,0.022,0.6748600000000002,Highly Recommended
potato chips reduced fat,0.4,113.7,801.0,10.0,12.1,35.4,0.8,77.913,Avoid
onion snacks,1.4,19.5,150.0,1.2,2.3,6.8,0.3,16.14175,Moderate
potato chips cheese,0.0,98.1,843.0,8.8,14.5,46.2,0.8,68.822745,Avoid
yuca cassava chips,0.006,1.2,9.0,0.002,0.054,0.4,0.041,1.22613,Highly Recommended
tortilla chips low fat,0.2,22.6,117.0,1.5,3.1,1.6,0.1,15.78763,Moderate
ranch flavor tortilla chips,6.0,124.2,992.0,7.9,14.2,48.8,1.0,108.32999999999998,Avoid
potato chips,0.007,15.9,161.0,1.4,2.1,10.4,0.021,9.811545,Moderate
tortilla chips,0.2,20.3,142.0,1.6,2.1,6.2,0.077,13.25316,Moderate
sweet potato chips,2.5,15.9,149.0,2.5,0.8,9.1,0.05,6.835864999999995,Recommended
nacho cheese tortilla chips,0.8,18.2,156.0,1.5,2.2,8.2,0.2,12.377879999999998,Moderate
vegetable chips,1.1,17.1,134.0,1.3,1.5,6.6,0.3,12.431710000000002,Moderate
taco flavor tortilla chips,0.0,143.2,1090.0,12.0,17.9,54.9,1.8,102.31299999999999,Avoid
potato chips barbecue,14.0,104.5,970.0,8.7,15.2,64.2,1.3,103.808,Avoid
pita chips,1.4,20.5,137.0,1.1,3.5,4.6,0.3,17.709274999999998,Moderate
potato chips sour cream and onion,0.0,102.0,1051.0,10.3,16.0,67.1,1.1,69.631,Avoid
adobo fresco,5.8,53.6,780.0,3.7,5.8,60.2,49.4,55.06020000000001,Avoid
chili pepper sauce red,0.4,0.6,3.0,0.1,0.1,0.089,0.003,1.10975,Highly Recommended
creamy ranch sauce mcdonalds,1.0,1.0,132.0,0.0,0.3,14.7,0.2,4.7568,Recommended
catsup,3.7,4.5,19.0,0.053,0.2,0.066,0.2,15.249774999999998,Moderate
chili pepper sauce green,0.4,0.8,3.0,0.3,0.1,0.032,0.03,-0.08273999999999981,Highly Recommended
red wine vinegar,0.0,0.011,3.0,0.0,0.055,0.0,0.092,0.01192495,Highly Recommended
fish sauce,0.7,0.7,6.0,0.0,0.9,0.013,1.4,2.8152799999999996,Recommended
coleslaw dressing reduced fat,6.6,6.8,56.0,0.045,0.0,3.4,0.3,26.517370000000003,Moderate
sour dressing,0.6,0.6,21.0,0.0,0.4,2.0,0.094,2.50283,Recommended
guava sauce cooked,14.0,22.6,86.0,8.6,0.8,0.3,0.017,5.136710000000001,Recommended
pizza sauce,9.5,21.8,136.0,5.0,5.5,2.9,0.9,16.148719999999997,Moderate
sweetn sour sauce mcdonalds,10.0,11.0,48.0,0.0,0.2,0.3,0.2,41.0962,Moderate
nance syrup,0.6,0.8,4.0,0.3,0.028,0.002,0.035,0.5159300000000002,Highly Recommended
french dressing reduced fat,4.6,4.7,37.0,0.2,0.072,2.2,0.072,17.246805,Moderate
peppercorn dressing,0.3,0.5,76.0,0.0,0.2,8.2,0.1,1.8166999999999998,Highly Recommended
sorghum syrup,15.7,15.7,61.0,0.0,0.0,0.0,0.096,62.944615,Avoid
ranch dressing fat free,0.7,3.7,17.0,0.088,0.039,0.3,0.1,5.2138349999999996,Recommended
